Source;Target;Type;Weight
Bosquet;Donat;Directed;2
Estienne;Dubois;Directed;1
Estienne;Meigret;Directed;1
Garnier;R_Estienne;Directed;1
Matthieu;Quintilien;Directed;1
Meigret;Ciceron;Directed;1
Meigret;Priscien;Directed;9
Meigret;Quintilien;Directed;1
Palsgrave;Barclay;Directed;1
Palsgrave;Du_Wes;Directed;3
Palsgrave;Theodore_G;Directed;1
Palsgrave;Valence;Directed;1
Palsgrave;Varron;Directed;1
Pillot;R_Estienne;Directed;1
Pillot;Quintilien;Directed;1
Pillot;Riedesell;Directed;1
Pillot;Strabon;Directed;1
Ramus;Amyot;Directed;1
Ramus;Aristote;Directed;8
Ramus;Auguste;Directed;2
Ramus;Ba‹f;Directed;1
Ramus;Beatus;Directed;1
Ramus;Bergeron;Directed;2
Ramus;Cauchie;Directed;1
Ramus;Cesar;Directed;2
Ramus;Ciceron;Directed;9
Ramus;Claude;Directed;3
Ramus;Corvinus;Directed;2
Ramus;Des_Autels;Directed;2
Ramus;Dolet;Directed;2
Ramus;du_Bellay;Directed;1
Ramus;Dubois;Directed;4
Ramus;H_Estienne;Directed;1
Ramus;R_Estienne;Directed;4
Ramus;Glareanus;Directed;1
Ramus;Gregoire_T;Directed;1
Ramus;Grenier;Directed;1
Ramus;Meigret;Directed;3
Ramus;Pasquier;Directed;2
Ramus;Peletier_M;Directed;2
Ramus;Pillot;Directed;2
Ramus;Platon;Directed;4
Ramus;Plutarque;Directed;2
Ramus;Priscien;Directed;1
Ramus;Tacite;Directed;1
Ramus;Tory;Directed;1
Ramus;Varron;Directed;10
Serreius;Ramus;Directed;1
Sylvius;Bude;Directed;1
Sylvius;Calepin;Directed;5
Sylvius;Diomede;Directed;1
Sylvius;Donat;Directed;1
Sylvius;Erasme;Directed;2
Sylvius;R_Estienne;Directed;1
Sylvius;Hesychius;Directed;1
Sylvius;Manuce;Directed;1
Sylvius;Capella;Directed;2
Sylvius;Nebrija;Directed;1
Sylvius;Negro;Directed;1
Sylvius;Nonius;Directed;1
Sylvius;Perotti;Directed;2
Sylvius;Priscien;Directed;3
Sylvius;Probus;Directed;1
Sylvius;Quintilien;Directed;1
Sylvius;Servius;Directed;1
Sylvius;Suidas;Directed;1
Sylvius;Varron;Directed;1
H_Estienne;R_Estienne;Directed;3
