Source,Target,Type,Id,Label,timeset,Weight,category
1,27,Directed,0,,,2,mention
3,11,Directed,1,,,1,mention
3,6,Directed,2,,,1,mention
4,3,Directed,3,,,1,mention
5,47,Directed,4,,,1,mention
6,21,Directed,5,,,1,mention
6,47,Directed,6,,,1,mention
7,15,Directed,7,,,2,mention-citation
7,29,Directed,8,,,3,mention
7,53,Directed,9,,,1,mention
7,55,Directed,10,,,1,mention
7,56,Directed,11,,,1,mention
8,3,Directed,12,,,1,mention
8,47,Directed,13,,,2,mention-citation
8,48,Directed,14,,,1,mention
8,50,Directed,15,,,1,mention
9,12,Directed,16,,,1,mention
9,67,Directed,17,,,6,mention
9,13,Directed,18,,,2,mention
9,14,Directed,19,,,1,mention
9,16,Directed,20,,,1,mention
9,17,Directed,21,,,2,mention
9,2,Directed,22,,,1,mention
9,20,Directed,23,,,2,mention
9,21,Directed,24,,,8,mention
9,22,Directed,25,,,3,mention
9,23,Directed,26,,,2,mention
9,24,Directed,27,,,1,mention
9,26,Directed,28,,,1,mention
9,28,Directed,29,,,1,mention
9,11,Directed,30,,,2,mention
9,84,Directed,31,,,1,mention
9,3,Directed,32,,,2,mention
9,31,Directed,33,,,1,mention
9,32,Directed,34,,,1,mention
9,33,Directed,35,,,1,mention
9,6,Directed,36,,,2,mention
9,40,Directed,37,,,2,mention
9,41,Directed,38,,,1,mention
9,8,Directed,39,,,1,mention
9,43,Directed,40,,,3,mention
9,44,Directed,41,,,2,mention
9,52,Directed,42,,,1,mention
9,54,Directed,43,,,1,mention
9,56,Directed,44,,,7,mention
10,9,Directed,45,,,1,mention
11,18,Directed,46,,,1,mention
11,19,Directed,47,,,7,mention-citation
11,25,Directed,48,,,1,mention
11,27,Directed,49,,,4,mention-citation
11,30,Directed,50,,,7,mention-citation
11,3,Directed,51,,,1,mention
11,34,Directed,52,,,1,mention
11,35,Directed,53,,,1,mention
11,36,Directed,54,,,3,mention-citation
11,37,Directed,55,,,2,mention-citation
11,38,Directed,56,,,1,mention
11,39,Directed,57,,,3,mention-citation
11,42,Directed,58,,,2,mention
11,46,Directed,59,,,1,mention
11,47,Directed,60,,,15,mention-citation
11,49,Directed,61,,,3,mention-citation
11,51,Directed,62,,,1,mention
11,56,Directed,63,,,5,mention-citation
57,91,Directed,64,,,4,mention
57,9,Directed,65,,,1,mention
57,103,Directed,66,,,7,mention-citation
58,65,Directed,67,,,2,mention
58,89,Directed,68,,,1,mention
58,91,Directed,69,,,4,mention-citation
58,94,Directed,70,,,1,mention
58,103,Directed,71,,,28,mention-citation
60,65,Directed,72,,,1,mention
60,68,Directed,73,,,2,mention
60,71,Directed,74,,,1,mention
60,74,Directed,75,,,1,mention
60,75,Directed,76,,,2,mention
60,81,Directed,77,,,1,mention
60,83,Directed,78,,,4,mention
60,84,Directed,79,,,2,mention
60,86,Directed,80,,,1,mention
60,87,Directed,81,,,1,mention
60,90,Directed,82,,,2,mention
60,92,Directed,83,,,8,mention
60,95,Directed,84,,,1,mention
60,40,Directed,85,,,2,mention-citation
60,9,Directed,86,,,1,mention
60,99,Directed,87,,,1,mention
60,100,Directed,88,,,3,mention
60,102,Directed,89,,,1,mention
60,103,Directed,90,,,5,mention-citation
62,77,Directed,91,,,1,mention
62,27,Directed,92,,,1,mention
62,47,Directed,93,,,1,mention
62,53,Directed,94,,,1,mention
62,56,Directed,95,,,1,mention
63,67,Directed,96,,,1,mention
63,62,Directed,97,,,1,mention
63,93,Directed,98,,,2,mention
64,43,Directed,99,,,1,mention
6,104,Directed,100,,,10,mention-citation
9,104,Directed,101,,,3,mention
11,104,Directed,102,,,16,mention-citation
62,104,Directed,103,,,1,mention
84,3,Directed,104,,,7,mention-citation
63,105,Directed,105,,,1,mention
1,21,Directed,106,,,1,citation
1,36,Directed,107,,,1,citation
1,201,Directed,108,,,1,citation
1,104,Directed,109,,,1,citation
2,202,Directed,110,,,1,citation
2,4,Directed,111,,,1,citation
84,203,Directed,113,,,1,citation
84,204,Directed,114,,,1,citation
4,21,Directed,115,,,1,citation
200,104,Directed,117,,,1,citation
8,205,Directed,119,,,1,citation
8,201,Directed,120,,,1,citation
9,215,Directed,122,,,8,citation
9,47,Directed,123,,,1,citation
10,206,Directed,124,,,1,citation
11,207,Directed,126,,,1,citation
11,208,Directed,129,,,1,citation
11,209,Directed,133,,,1,citation
11,210,Directed,137,,,1,citation
57,67,Directed,139,,,1,citation
57,211,Directed,140,,,1,citation
57,104,Directed,141,,,1,citation
57,100,Directed,142,,,3,citation
58,212,Directed,144,,,3,citation
58,60,Directed,145,,,1,citation
58,213,Directed,147,,,1,citation
60,214,Directed,149,,,1,citation
60,47,Directed,151,,,1,citation
62,21,Directed,153,,,2,citation
62,215,Directed,154,,,1,citation
64,103,Directed,155,,,1,citation
