Source;Target;Type;Weight;category
57;67;Directed;1;citation
57;211;Directed;1;citation
57;104;Directed;1;citation
57;100;Directed;3;citation
57;103;Directed;3;citation
58;212;Directed;3;citation
58;60;Directed;1;citation
58;91;Directed;3;citation
58;213;Directed;1;citation
58;103;Directed;19;citation
60;214;Directed;1;citation
60;40;Directed;1;citation
60;47;Directed;1;citation
60;103;Directed;2;citation
62;21;Directed;2;citation
62;215;Directed;1;citation
64;103;Directed;1;citation
